datetime,nickname,joined,left,total_duration
2024.8.26 15:06,nostand.04,2024.8.26 15:06,2024.8.26 15:06,0:00:04.489890
2024.8.26 15:46,nostand.04,2024.8.26 15:46,2024.8.26 15:47,0:01:31.005343
2024.8.26 16:09,j_jw,2024.8.26 16:09,2024.8.26 16:43,0:33:32.096619
2024.8.26 16:24,taniu,2024.8.26 16:24,2024.8.26 16:25,0:00:58.362748
2024.8.26 16:30,taniu,2024.8.26 16:30,2024.8.26 16:37,0:07:23.204725
2024.8.26 16:34,supercell_7,2024.8.26 16:34,2024.8.26 16:36,0:01:45.519579
2024.8.26 16:37,taniu,2024.8.26 16:37,2024.8.26 16:40,0:02:21.367766
2024.8.26 16:38,1966__,2024.8.26 16:38,2024.8.26 22:40,0:01:08.797852
2024.8.26 16:47,taniu,2024.8.26 16:47,,
2024.8.26 17:06,hankeomtajagangmo,2024.8.26 17:06,2024.8.26 17:07,0:01:05.203306
2024.8.26 17:13,j_jw,2024.8.26 17:13,2024.8.26 19:50,2:37:53.054334
2024.8.26 17:48,vin3912,2024.8.26 17:48,2024.8.26 20:30,2:41:10.089516
2024.8.26 17:55,gaejaseug,2024.8.26 17:55,2024.8.26 21:41,3:45:40.485636
2024.8.26 17:57,sunmmi,2024.8.26 17:57,2024.8.27 1:17,7:19:37.932023
2024.8.26 18:09,sangwook200000,2024.8.26 18:09,2024.8.26 18:11,0:01:52.126403
2024.8.26 18:59,ziu.g,2024.8.26 18:59,2024.8.26 19:23,0:24:13.611131
2024.8.26 19:09,hugnae,2024.8.26 19:09,2024.8.26 19:35,0:25:57.770497
2024.8.26 20:26,fabius7451,2024.8.26 20:26,2024.8.26 22:07,1:40:59.650633
2024.8.26 20:38,vin3912,2024.8.26 20:38,2024.8.26 23:31,2:52:58.886890
2024.8.26 20:39,sungwoo0781,2024.8.26 20:39,2024.8.27 0:28,3:48:52.515449
2024.8.26 21:26,yeowool_e,2024.8.26 21:26,2024.8.27 1:52,4:25:43.267784
2024.8.26 21:58,ohmin_castle,2024.8.26 21:58,2024.8.27 2:03,4:04:25.364601
2024.8.26 22:37,nostand.04,2024.8.26 22:37,2024.8.27 0:02,1:25:27.262364
2024.8.26 22:37,keek.an,2024.8.26 22:37,2024.8.27 0:55,2:17:40.123208
2024.8.26 22:37,lara_08,2024.8.26 22:37,2024.8.26 23:19,0:41:12.706587
2024.8.26 22:39,1966__,2024.8.26 22:39,2024.8.26 22:40,0:01:08.797852
2024.8.26 22:40,__ë´,2024.8.26 22:40,2024.8.26 22:58,0:18:04.014726
2024.8.26 22:46,°í_ì»,2024.8.26 22:46,2024.8.26 22:57,0:11:42.877370
2024.8.26 22:57,czcz8426,2024.8.26 22:57,2024.8.26 23:32,0:34:48.640508
2024.8.26 22:58,°í_ì»,2024.8.26 22:58,2024.8.27 3:08,4:10:40.182748
